,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant
59,59,26,71,132,existing,1302.5100252247066,59,26,71,121,existing,577.470998624158,59,26,71,189,allocated,176.845130811618,59,28,71,131,existing,1133.011853316184,59,27,71,131,existing,1133.011853316184
60,60,26,72,132,existing,1495.413455284903,60,26,72,72,existing,0.0,60,26,72,8,allocated,48.42078524908231,60,28,72,131,existing,1325.9152833763803,60,27,72,131,existing,1325.9152833763803
61,61,26,73,132,existing,1629.5048105902194,61,26,73,73,existing,0.0,61,26,73,73,allocated,0.0,61,28,73,131,existing,1522.6130317680786,61,27,73,131,existing,1522.6130317680786
62,62,26,74,132,existing,160.16328371948978,62,26,74,121,existing,1151.142863245329,62,26,74,74,allocated,0.0,62,28,74,131,existing,168.72916874256396,62,27,74,131,existing,168.72916874256396
63,63,26,75,132,existing,288.636640634717,63,26,75,121,existing,1279.6162201605562,63,26,75,75,allocated,0.0,63,28,75,131,existing,297.2025256577912,63,27,75,131,existing,297.2025256577912
64,64,26,77,132,existing,1803.7182156110116,64,26,77,121,existing,1508.133946242513,64,26,77,94,allocated,78.68638271288887,64,28,77,131,existing,1634.220043702489,64,27,77,131,existing,1634.220043702489
65,65,26,78,132,existing,1387.3310648330964,65,26,78,121,existing,1460.390190136241,65,26,78,114,allocated,34.82783568974281,65,28,78,131,existing,1217.832892924574,65,27,78,131,existing,1217.832892924574
66,66,26,80,132,existing,2299.400713084639,66,26,80,73,existing,952.3231788846288,66,26,80,20,allocated,503.5934482866968,66,28,80,131,existing,2129.9025411761163,66,27,80,131,existing,2129.9025411761163
67,67,26,82,132,existing,2067.0972942813746,67,26,82,73,existing,1102.958460809088,67,26,82,20,allocated,654.228730211156,67,28,82,131,existing,1897.599122372852,67,27,82,131,existing,1897.599122372852
68,68,26,83,132,existing,2100.7532145668592,68,26,83,73,existing,1136.6143810945728,68,26,83,20,allocated,687.8846504966408,68,28,83,131,existing,1931.255042658337,68,27,83,131,existing,1931.255042658337
