,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant
35,35,31,126,134,existing,64.37982046792791,35,31,126,66,existing,336.04459806326065,35,31,126,62,allocated,44.659144885993214,35,39,126,68,existing,368.74719278876404,35,40,126,94,existing,563.0025860254798,35,38,126,90,existing,674.4104808116111
36,36,32,127,72,existing,150.29134873360897,36,32,127,66,existing,469.19796493053605,36,32,127,56,allocated,77.04586958693596,36,39,127,68,existing,501.90055965603943,36,38,127,90,existing,526.6875098879956,36,40,127,94,existing,696.1559528927551
37,37,34,128,77,existing,465.4333976952722,37,34,128,66,existing,573.4152257404289,37,34,128,194,allocated,76.31167419986694,37,40,128,94,existing,609.4871554653141,37,39,128,68,existing,762.3177462644223,37,38,128,90,existing,1093.7212590120043
38,38,34,130,77,existing,440.55514491135807,38,34,130,66,existing,548.5369729565148,38,34,130,194,allocated,26.220217860832832,38,40,130,94,existing,584.6089026814,38,39,130,68,existing,737.4394934805082,38,38,130,90,existing,1068.8430062280902
39,39,37,132,131,existing,71.10359770127997,39,37,132,66,existing,642.3187525975195,39,37,132,132,allocated,0.0,39,40,132,94,existing,415.4718064106677,39,39,132,68,existing,628.3275808678936,39,38,132,90,existing,803.4005282665794
40,40,32,137,72,existing,152.7048956771301,40,32,137,66,existing,607.6469012843598,40,32,137,70,existing,134.47474493327212,40,38,137,90,existing,223.69126547725648,40,39,137,68,existing,385.8726982348385,40,40,137,94,existing,600.1478791845421
41,41,32,138,72,existing,205.72413834724904,41,32,138,66,existing,554.6276586142409,41,32,138,71,allocated,135.52130032569463,41,38,138,90,existing,276.7105081473754,41,39,138,68,existing,332.8534555647196,41,40,138,94,existing,547.1286365144233
42,42,34,143,77,existing,241.57745585906088,42,34,143,66,existing,347.13270735744146,42,34,143,153,allocated,93.37415681202808,42,40,143,94,existing,319.6254523173583,42,39,143,68,existing,532.9134919416136,42,38,143,90,existing,873.0452863936295
43,43,34,144,77,existing,174.6093285968941,43,34,144,66,existing,450.44344336402116,43,34,144,6,allocated,39.18168380945427,43,40,144,94,existing,353.9697128828384,43,39,144,68,existing,568.244893832542,43,38,144,90,existing,907.3895469591096
44,44,37,145,131,existing,141.93887597870892,44,37,145,66,existing,706.1051260971046,44,37,145,147,allocated,194.25188867280514,44,40,145,94,existing,485.5984079306229,44,39,145,68,existing,692.1139543674785,44,38,145,90,existing,858.962442396908
45,45,33,149,136,existing,256.33688825040065,45,33,149,66,existing,516.6997560783764,45,33,149,149,allocated,0.0,45,38,149,90,existing,189.54271798486056,45,39,149,68,existing,289.9680483055388,45,40,149,94,existing,502.63515866288134
46,46,34,151,77,existing,269.33765754642184,46,34,151,66,existing,505.9592491193158,46,34,151,35,allocated,48.118183015338985,46,40,151,94,existing,446.02872640345754,46,39,151,68,existing,659.3167660277129,46,38,151,90,existing,999.4485604797287
47,47,34,153,77,existing,203.8852725965755,47,34,153,66,existing,440.5068641694695,47,34,153,153,allocated,0.0,47,40,153,94,existing,380.57634145361124,47,39,153,68,existing,593.8643810778666,47,38,153,90,existing,933.9961755298824
48,48,34,154,77,existing,17.916314340722916,48,34,154,66,existing,424.2346865888863,48,34,154,77,existing,17.916314340722916,48,40,154,94,existing,197.27669862666718,48,39,154,68,existing,410.30444626247765,48,38,154,90,existing,715.9128091941656
49,49,31,156,134,existing,17.992065779791385,49,31,156,66,existing,253.67271181554133,49,31,156,185,allocated,93.72627130223363,49,39,156,68,existing,286.3753065410447,49,40,156,94,existing,480.63069977776047,49,38,156,90,existing,595.5250924629293
50,50,32,159,72,existing,95.02554416879218,50,32,159,66,existing,413.93216036571926,50,32,159,56,allocated,132.31167415175275,50,39,159,68,existing,446.63475509122264,50,38,159,90,existing,471.42170532317874,50,40,159,94,existing,640.8901483279383
51,51,34,160,77,existing,336.3337122765448,51,34,160,66,existing,572.9553038494388,51,34,160,160,allocated,0.0,51,40,160,94,existing,513.0247811335805,51,39,160,68,existing,726.3128207578359,51,38,160,90,existing,1066.4446152098517
52,52,34,161,77,existing,365.12982481251873,52,34,161,66,existing,601.7514163854127,52,34,161,160,allocated,28.796112535973908,52,40,161,94,existing,541.8208936695544,52,39,161,68,existing,755.1089332938097,52,38,161,90,existing,1095.2407277458256
53,53,33,162,136,existing,364.50769134316846,53,33,162,66,existing,393.4487238573404,53,33,162,162,allocated,0.0,53,39,162,68,existing,166.7170160845028,53,38,162,90,existing,297.71352107762834,53,40,162,94,existing,379.38412644184535
54,54,34,183,77,existing,146.80011428249492,54,34,183,66,existing,553.1184865306583,54,34,183,183,allocated,0.0,54,40,183,94,existing,326.16049856843915,54,39,183,68,existing,539.1882462042497,54,38,183,90,existing,844.7966091359376
55,55,31,185,134,existing,75.73420552244224,55,31,185,66,existing,347.39898311777495,55,31,185,185,allocated,0.0,55,39,185,68,existing,380.10157784327833,55,40,185,94,existing,574.3569710799941,55,38,185,90,existing,689.2513637651629
56,56,32,187,72,existing,118.20137608754334,56,32,187,66,existing,390.7563284469681,56,32,187,56,allocated,155.4875060705039,56,39,187,68,existing,423.4589231724715,56,38,187,90,existing,494.5975372419299,56,40,187,94,existing,617.7143164091872
57,57,31,188,134,existing,145.48525852076446,57,31,188,66,existing,417.15003611609717,57,31,188,62,allocated,125.76458293882975,57,39,188,68,existing,449.85263084160056,57,40,188,94,existing,644.1080240783162,57,38,188,90,existing,672.7780828392149
58,58,35,192,74,existing,125.65420953878734,58,35,192,66,existing,575.2508496174767,58,35,192,56,allocated,29.007015100004587,58,38,192,90,existing,561.7949036774701,58,39,192,68,existing,607.95344434298,58,40,192,94,existing,802.2088375796957
59,59,34,194,77,existing,466.7753627721909,59,34,194,66,existing,574.7571908173475,59,34,194,194,allocated,0.0,59,40,194,94,existing,610.8291205422329,59,39,194,68,existing,763.659711341341,59,38,194,90,existing,1095.063224088923
