,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant,8_assign_from_var_id_restaurant,8_assign_to_var_id_restaurant,8_assign_from_node_id_restaurant,8_assign_to_node_id_restaurant,8_assign_type_restaurant,8_dist_restaurant,9_assign_from_var_id_restaurant,9_assign_to_var_id_restaurant,9_assign_from_node_id_restaurant,9_assign_to_node_id_restaurant,9_assign_type_restaurant,9_dist_restaurant
20,20,16,96,22,allocated,305.69380905263347,20,16,96,108,existing,227.91720632586697,20,16,96,96,allocated,0.0,20,56,96,90,allocated,296.26225678867434,20,7,96,10,allocated,424.52077677956544,20,105,96,61,existing,636.6771465572541,20,116,96,29,existing,655.2015967020089,20,106,96,29,existing,655.2015967020089,20,114,96,136,existing,718.7104964063517,20,112,96,132,existing,739.8109880564606,20,107,96,29,existing,655.2015967020089,20,113,96,17,existing,980.4171596319097,20,110,96,126,existing,902.0728944143785
21,21,79,101,138,allocated,90.09335362727597,21,79,101,42,existing,176.6849765427362,21,79,101,86,allocated,62.69936655954378,21,116,101,29,existing,384.4058954277207,21,106,101,29,existing,384.4058954277207,21,107,101,29,existing,384.4058954277207,21,105,101,61,existing,411.6840953715468,21,7,101,10,allocated,592.977442981849,21,56,101,90,allocated,514.4626005336618,21,114,101,136,existing,846.6644578794118,21,113,101,17,existing,709.6214583576216,21,112,101,132,existing,871.7474117375434,21,110,101,126,existing,1030.0268558874386
22,22,16,103,22,allocated,265.6840218784353,22,16,103,10,allocated,341.9764748692061,22,16,103,104,allocated,117.30866673386976,22,56,103,90,allocated,136.82244566163223,22,7,103,10,allocated,341.9764748692061,22,112,103,132,existing,657.2666861461013,22,114,103,136,existing,680.3601298184285,22,116,103,29,existing,762.0460502997502,22,107,103,29,existing,762.0460502997502,22,105,103,61,existing,759.0725698951785,22,106,103,29,existing,762.0460502997502,22,110,103,126,existing,863.7225278264555,22,113,103,17,existing,1087.261613229651
23,23,16,109,22,allocated,308.57205496581287,23,16,109,10,allocated,384.8645079565836,23,16,109,90,allocated,45.189957602911925,23,56,109,90,allocated,45.189957602911925,23,7,109,10,allocated,384.8645079565836,23,112,109,132,existing,700.1547192334788,23,114,109,136,existing,723.2481629058061,23,106,109,29,existing,944.0584535642943,23,107,109,29,existing,944.0584535642943,23,110,109,126,existing,906.6105609138331,23,105,109,61,existing,941.0849731597226,23,116,109,29,existing,944.0584535642943,23,113,109,17,existing,1269.2740164941952
24,24,79,116,138,allocated,438.1199660665014,24,79,116,15,allocated,120.13423244067266,24,79,116,116,allocated,0.0,24,113,116,17,existing,181.40813866384417,24,106,116,29,existing,206.66235692778773,24,116,116,29,existing,206.66235692778773,24,107,116,29,existing,206.66235692778773,24,112,116,132,existing,787.138699033817,24,114,116,136,existing,762.0557451756854,24,105,116,61,existing,233.9405568716138,24,7,116,10,allocated,941.0040554210743,24,110,116,126,existing,945.4181431837123,24,56,116,90,allocated,1042.675920227439
25,25,42,127,67,allocated,209.02108205298353,25,42,127,65,allocated,71.25925772071476,25,42,127,127,allocated,0.0,25,111,127,122,existing,194.5605299183038,25,15,127,18,allocated,204.7846381157717,25,108,127,74,existing,741.5570861093858,25,109,127,74,existing,741.5570861093858,25,107,127,29,existing,1656.6124684522504,25,106,127,29,existing,1656.6124684522504,25,115,127,110,existing,1320.0626207487132,25,116,127,29,existing,1656.6124684522504,25,105,127,61,existing,1683.8906683960765,25,113,127,17,existing,1982.154979818168
26,26,16,128,22,allocated,94.11296611891568,26,16,128,10,allocated,24.71400160801626,26,16,128,10,allocated,24.71400160801626,26,7,128,10,allocated,24.71400160801626,26,114,128,136,existing,320.5631418210775,26,112,128,132,existing,340.00421288491145,26,56,128,90,allocated,357.49506348181666,26,106,128,29,existing,772.4826295470014,26,105,128,61,existing,753.9581794022466,26,107,128,29,existing,772.4826295470014,26,110,128,126,existing,503.9255398291044,26,113,128,17,existing,1097.6981924769022,26,116,128,29,existing,772.4826295470014
27,27,16,129,22,allocated,168.99454376099533,27,16,129,10,allocated,99.59557925009591,27,16,129,129,allocated,0.0,27,7,129,10,allocated,99.59557925009591,27,114,129,136,existing,395.4447194631572,27,56,129,90,allocated,432.3766411238963,27,112,129,132,existing,414.8857905269911,27,110,129,126,existing,578.807117471184,27,107,129,29,existing,847.3642071890811,27,105,129,61,existing,828.8397570443262,27,106,129,29,existing,847.3642071890811,27,113,129,17,existing,1172.579770118982,27,116,129,29,existing,847.3642071890811
28,28,16,130,22,allocated,23.622899828601792,28,16,130,10,allocated,99.91535281937256,28,16,130,22,allocated,23.622899828601792,28,7,130,10,allocated,99.91535281937256,28,56,130,90,allocated,239.75919753429918,28,114,130,136,existing,438.29900776859495,28,112,130,132,existing,415.2055640962678,28,116,130,29,existing,701.9925632566875,28,106,130,29,existing,701.9925632566875,28,110,130,126,existing,621.6614057766219,28,105,130,61,existing,683.4681131119328,28,113,130,17,existing,1027.2081261865883,28,107,130,29,existing,701.9925632566875
29,29,102,132,132,existing,0.0,29,102,132,10,allocated,315.2902112768952,29,102,132,132,existing,0.0,29,112,132,132,existing,0.0,29,114,132,136,existing,25.082953858131617,29,110,132,126,existing,207.9889388830808,29,7,132,10,allocated,315.2902112768952,29,107,132,29,existing,641.5869247395877,29,106,132,29,existing,641.5869247395877,29,105,132,61,existing,614.3087247957617,29,116,132,29,existing,641.5869247395877,29,113,132,17,existing,967.1294361055054,29,56,132,90,allocated,654.964761630567
30,30,16,133,22,allocated,169.67364404556784,30,16,133,10,allocated,288.5006117724998,30,16,133,95,allocated,41.25973382551631,30,7,133,10,allocated,288.5006117724998,30,56,133,90,allocated,432.28242179574,30,112,133,132,existing,603.7908230493949,30,114,133,136,existing,584.349751985561,30,116,133,29,existing,791.2217617090746,30,110,133,126,existing,767.7121499935879,30,107,133,29,existing,791.2217617090746,30,105,133,61,existing,772.6973115643198,30,113,133,17,existing,1116.4373246389755,30,106,133,29,existing,791.2217617090746
31,31,98,136,136,existing,0.0,31,98,136,10,allocated,340.37316513502685,31,98,136,132,existing,25.082953858131617,31,114,136,136,existing,0.0,31,112,136,132,existing,25.082953858131617,31,110,136,126,existing,183.3623980080269,31,7,136,10,allocated,340.37316513502685,31,105,136,61,existing,589.22577093763,31,106,136,29,existing,616.5039708814561,31,107,136,29,existing,616.5039708814561,31,116,136,29,existing,616.5039708814561,31,56,136,90,allocated,678.0582053028942,31,113,136,17,existing,942.0464822473738
32,32,101,137,145,existing,138.28643448184422,32,101,137,10,allocated,170.4148170768907,32,101,137,152,allocated,67.69002684801994,32,7,137,10,allocated,170.4148170768907,32,114,137,136,existing,174.8623263522031,32,112,137,132,existing,199.94528021033472,32,110,137,126,existing,358.22472436022997,32,116,137,29,existing,791.3662972336592,32,56,137,90,allocated,503.19587895069105,32,107,137,29,existing,791.3662972336592,32,105,137,61,existing,764.0880972898332,32,113,137,17,existing,1116.9088085995768,32,106,137,29,existing,791.3662972336592
33,33,79,138,138,allocated,0.0,33,79,138,42,existing,86.59162291546023,33,79,138,138,allocated,0.0,33,106,138,29,existing,294.3125418004447,33,107,138,29,existing,294.3125418004447,33,116,138,29,existing,294.3125418004447,33,105,138,61,existing,321.5907417442708,33,7,138,10,allocated,502.88408935457295,33,56,138,90,allocated,604.5559541609377,33,114,138,136,existing,756.5711042521359,33,113,138,17,existing,619.5281047303456,33,110,138,126,existing,939.9335022601629,33,112,138,132,existing,781.6540581102676
34,34,79,139,138,allocated,152.50342187104332,34,79,139,42,existing,192.37631677801016,34,79,139,139,allocated,0.0,34,105,139,61,existing,428.2915135267333,34,107,139,29,existing,446.815963671488,34,116,139,29,existing,446.815963671488,34,106,139,29,existing,446.815963671488,34,56,139,90,allocated,467.60350203007744,34,114,139,136,existing,862.3557981146859,34,113,139,17,existing,772.0315266013888,34,7,139,10,allocated,608.668783217123,34,110,139,126,existing,1045.7181961227127,34,112,139,132,existing,887.4387519728175
35,35,79,140,138,allocated,190.2546613159201,35,79,140,42,existing,230.12755622288694,35,79,140,139,allocated,37.751239444876774,35,56,140,90,allocated,429.85226258520066,35,105,140,61,existing,466.04275297161007,35,116,140,29,existing,484.5672031163648,35,107,140,29,existing,484.5672031163648,35,114,140,136,existing,843.4612005730743,35,113,140,17,existing,809.7827660462656,35,7,140,10,allocated,589.7741856755114,35,106,140,29,existing,484.5672031163648,35,112,140,132,existing,868.5441544312059,35,110,140,126,existing,1026.8235985811011
36,36,79,141,138,allocated,194.19425028342866,36,79,141,42,existing,280.7858731988889,36,79,141,141,allocated,0.0,36,56,141,90,allocated,410.36170387750906,36,107,141,29,existing,488.5067920838734,36,106,141,29,existing,488.5067920838734,36,116,141,29,existing,488.5067920838734,36,114,141,136,existing,917.072232281531,36,7,141,10,allocated,615.5157330850828,36,105,141,61,existing,515.7849920276994,36,113,141,17,existing,813.7223550137742,36,112,141,132,existing,930.8059443619782,36,110,141,126,existing,1100.4346302895578
37,37,16,144,22,allocated,238.504443902348,37,16,144,10,allocated,119.67747617541605,37,16,144,144,allocated,0.0,37,7,144,10,allocated,119.67747617541605,37,112,144,132,existing,434.9676874523112,37,56,144,90,allocated,459.35202652908777,37,114,144,136,existing,460.05064131044287,37,106,144,29,existing,916.8741073304337,37,105,144,61,existing,898.349657185679,37,110,144,126,existing,642.956626335392,37,116,144,29,existing,916.8741073304337,37,113,144,17,existing,1242.0896702603345,37,107,144,29,existing,916.8741073304337
38,38,101,152,145,existing,70.59640763382428,38,101,152,10,allocated,238.10484392491065,38,101,152,152,allocated,0.0,38,7,152,10,allocated,238.10484392491065,38,114,152,136,existing,242.55235320022302,38,110,152,126,existing,425.9147512082499,38,112,152,132,existing,267.63530705835467,38,106,152,29,existing,808.3312928523576,38,105,152,61,existing,789.8068427076028,38,56,152,90,allocated,570.885905798711,38,107,152,29,existing,808.3312928523576,38,116,152,29,existing,808.3312928523576,38,113,152,17,existing,1133.5468557822585
