,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare
85,85,38,163,73,existing,899.8863063528629,85,38,163,74,existing,889.582240808521,85,38,163,4,existing,793.5424645677745,85,38,163,74,existing,889.582240808521
86,86,38,164,73,existing,833.2200160099296,86,38,164,74,existing,822.9159504655877,86,38,164,4,existing,726.8761742248412,86,38,164,74,existing,822.9159504655877
87,87,37,169,45,existing,427.9791212532795,87,37,169,74,existing,391.03432828153774,87,37,169,4,existing,316.56126343985096,87,37,169,74,existing,391.03432828153774
88,88,37,188,45,existing,851.9626661111712,88,37,188,74,existing,888.9074590829131,88,37,188,4,existing,554.8253858042426,88,37,188,74,existing,888.9074590829131
89,89,38,189,73,existing,471.5770558623635,89,38,189,74,existing,474.4438577873193,89,38,189,68,existing,607.4503591368231,89,38,189,74,existing,474.4438577873193
90,90,37,190,45,existing,423.88070176627417,90,37,190,74,existing,460.825494738016,90,37,190,68,existing,162.9545642552154,90,37,190,74,existing,460.825494738016
91,91,37,191,45,existing,860.773461274382,91,37,191,74,existing,897.7182542461239,91,37,191,4,existing,568.5652277217789,91,37,191,74,existing,897.7182542461239
92,92,38,192,73,existing,130.6042275464488,92,38,192,74,existing,520.0812194641777,92,38,192,68,existing,744.0625640034948,92,38,192,92,existing,302.23756079673075
93,93,38,193,73,existing,722.0209456135354,93,38,193,74,existing,724.8877475384912,93,38,193,4,existing,653.3258409625955,93,38,193,74,existing,724.8877475384912
94,94,37,194,45,existing,79.76474891668852,94,37,194,74,existing,42.81995594494673,94,37,194,68,existing,340.69088642774733,94,37,194,74,existing,42.81995594494673
95,95,38,200,73,existing,126.1014612336783,95,38,200,74,existing,515.5784531514072,95,38,200,68,existing,716.9184464309386,95,38,200,92,existing,297.73479448396023
