,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant
20,20,47,82,154,allocated,885.4190068638063,20,47,82,138,allocated,333.24443685910984,20,47,82,138,allocated,333.24443685910984,20,39,82,130,allocated,1036.9795784446255,20,40,82,131,allocated,1228.559093293845,20,76,82,41,existing,1293.1152273960708,20,55,82,183,allocated,1622.112016578685,20,74,82,170,existing,1661.5058110732339,20,75,82,136,existing,1815.086598179266,20,73,82,159,existing,1649.568888884002,20,72,82,160,existing,1694.7026943089188
21,21,70,83,136,existing,530.3945901620056,21,70,83,130,allocated,247.73465910341565,21,70,83,83,allocated,0.0,21,39,83,130,allocated,247.73465910341565,21,40,83,131,allocated,430.23814791522085,21,75,83,136,existing,530.3945901620056,21,76,83,41,existing,548.4159633421343,21,73,83,159,existing,705.1066725857827,21,72,83,160,existing,750.2404780106996,21,55,83,183,allocated,1278.8269398064526,21,74,83,170,existing,685.6392439846464
22,22,47,84,154,allocated,493.901026755008,22,47,84,130,allocated,24.523570731546435,22,47,84,84,allocated,0.0,22,39,84,130,allocated,24.523570731546435,22,40,84,131,allocated,207.02705954335164,22,76,84,41,existing,325.20487497026517,22,73,84,159,existing,592.0632077322109,22,55,84,183,allocated,1055.6158514345834,22,74,84,170,existing,604.000129921443,22,72,84,160,existing,637.1970131571278,22,75,84,136,existing,753.6056785338748
23,23,20,91,73,allocated,72.78307729170668,23,20,91,130,allocated,628.441188795174,23,20,91,73,allocated,72.78307729170668,23,76,91,41,existing,341.63652024270294,23,39,91,130,allocated,628.441188795174,23,40,91,131,allocated,820.0207036443935,23,75,91,136,existing,954.1054233860268,23,55,91,183,allocated,1688.7693792842917,23,74,91,170,existing,1109.3500772086677,23,72,91,160,existing,1173.9513112347208,23,73,91,159,existing,1128.817505809804
24,24,20,92,73,allocated,197.88496187400204,24,20,92,130,allocated,365.7235866887345,24,20,92,191,allocated,188.30432045890805,24,76,92,41,existing,125.3110246126564,24,39,92,130,allocated,365.7235866887345,24,75,92,136,existing,938.6365034568479,24,40,92,131,allocated,557.303101537954,24,73,92,159,existing,978.3128971281109,24,55,92,183,allocated,1426.0517771778523,24,72,92,160,existing,1023.4467025530278,24,74,92,170,existing,990.2498193173428
25,25,71,102,170,existing,441.27493388624043,25,71,102,192,existing,285.7115267764575,25,71,102,117,allocated,63.93633258778,25,40,102,131,allocated,282.0672592499926,25,73,102,159,existing,420.9985182573754,25,72,102,160,existing,466.1323236822923,25,74,102,170,existing,441.27493388624043,25,75,102,136,existing,597.792796034747,25,39,102,130,allocated,473.64677409921217,25,55,102,183,allocated,840.3177419560939,25,76,102,41,existing,774.328078337931
26,26,20,105,73,allocated,134.2697864352118,26,20,105,130,allocated,421.38832506825554,26,20,105,106,allocated,70.03682309313486,26,76,105,41,existing,315.66284897176416,26,39,105,130,allocated,421.38832506825554,26,75,105,136,existing,747.0525596591084,26,40,105,131,allocated,612.9678399174751,26,74,105,170,existing,902.2972134817492,26,73,105,159,existing,921.7646420828854,26,72,105,160,existing,966.8984475078023,26,55,105,183,allocated,1481.7165155573734
27,27,20,106,73,allocated,204.30660952834666,27,20,106,130,allocated,394.4893400521197,27,20,106,106,allocated,0.0,27,76,106,41,existing,360.07131975542205,27,39,106,130,allocated,394.4893400521197,27,40,106,131,allocated,586.0688549013393,27,75,106,136,existing,677.0157365659735,27,55,106,183,allocated,1454.8175305412374,27,72,106,160,existing,896.8616244146674,27,74,106,170,existing,832.2603903886143,27,73,106,159,existing,851.7278189897505
28,28,71,111,170,existing,30.153091028221997,28,71,111,192,existing,128.06533218598682,28,71,111,170,allocated,30.153091028221997,28,74,111,170,existing,30.153091028221997,28,73,111,159,existing,49.62051962935824,28,75,111,136,existing,186.6709531767285,28,72,111,160,existing,94.75432505427513,28,55,111,183,allocated,984.6385497768574,28,39,111,130,allocated,594.3731416003864,28,40,111,131,allocated,402.79362675116687,28,76,111,41,existing,895.054445839105
29,29,9,112,48,allocated,419.8947085342787,29,9,112,185,allocated,189.64185325980486,29,9,112,112,allocated,0.0,29,55,112,183,allocated,127.25491295335938,29,40,112,131,allocated,996.0035885932575,29,72,112,160,existing,1044.0456815590328,29,73,112,159,existing,1089.1794869839496,29,75,112,136,existing,1265.973764761321,29,39,112,130,allocated,1187.583103442477,29,74,112,170,existing,1109.4559026128147,29,76,112,41,existing,1488.2644076811957
30,30,20,114,73,allocated,254.12057305428232,30,20,114,130,allocated,366.1237337281967,30,20,114,114,allocated,0.0,30,76,114,41,existing,65.44242948947799,30,39,114,130,allocated,366.1237337281967,30,73,114,159,existing,978.7130441675731,30,40,114,131,allocated,557.7032485774163,30,75,114,136,existing,1102.5294858108737,30,55,114,183,allocated,1426.4519242173146,30,72,114,160,existing,1023.84684959249,30,74,114,170,existing,990.6499663568051
31,31,71,123,170,existing,119.69249511263433,31,71,123,192,existing,217.60473627039914,31,71,123,123,allocated,0.0,31,74,123,170,existing,119.69249511263433,31,73,123,159,existing,139.15992371377058,31,72,123,160,existing,184.29372913868747,31,75,123,136,existing,276.2103572611408,31,39,123,130,allocated,504.83373751597406,31,55,123,183,allocated,1074.1779538612698,31,40,123,131,allocated,313.2542226667546,31,76,123,41,existing,805.5150417546927
