,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant
34,34,37,65,45,existing,278.6478993697466,34,37,65,68,existing,165.56387972488557,34,37,65,74,allocated,315.5926923414884,34,40,65,74,existing,315.5926923414884,34,16,65,74,allocated,315.5926923414884,34,17,65,81,allocated,497.50810624692036,34,17,65,81,allocated,497.50810624692036
35,35,10,66,47,allocated,161.358826869759,35,10,66,4,existing,96.36235302906725,35,10,66,47,allocated,161.358826869759,35,17,66,81,allocated,234.83103741003106,35,17,66,81,allocated,234.83103741003106,35,40,66,74,existing,430.44442630773756,35,16,66,74,allocated,430.44442630773756
36,36,37,67,45,existing,241.49955558726924,36,37,67,68,existing,128.4155359424082,36,37,67,74,allocated,278.444348559011,36,40,67,74,existing,278.444348559011,36,16,67,74,allocated,278.444348559011,36,17,67,81,allocated,386.8311151587576,36,17,67,81,allocated,386.8311151587576
37,37,0,70,2,allocated,227.1717717403555,37,0,70,81,allocated,526.5587248250919,37,0,70,2,allocated,227.1717717403555,37,17,70,81,allocated,526.5587248250919,37,17,70,81,allocated,526.5587248250919,37,40,70,74,existing,701.0783985644541,37,16,70,74,allocated,701.0783985644541
38,38,38,72,73,existing,34.35740697643692,38,38,72,92,allocated,205.99074022671886,38,38,72,92,allocated,205.99074022671886,38,16,72,74,allocated,423.8343988941658,38,40,72,74,existing,423.8343988941658,38,17,72,81,allocated,1015.2202766684509,38,17,72,81,allocated,1015.2202766684509
39,39,37,74,45,existing,36.9447929717418,39,37,74,68,existing,297.87093048280065,39,37,74,74,existing,0.0,39,16,74,74,allocated,0.0,39,40,74,74,existing,0.0,39,17,74,81,allocated,665.2754637177687,39,17,74,81,allocated,665.2754637177687
40,40,37,75,45,existing,133.19590912821695,40,37,75,68,existing,229.257617505979,40,37,75,74,allocated,96.25111615647516,40,40,75,74,existing,96.25111615647516,40,16,75,74,allocated,96.25111615647516,40,17,75,81,allocated,590.073106734621,40,17,75,81,allocated,590.073106734621
41,41,37,76,45,existing,163.60197507714048,41,37,76,68,existing,259.6636834549025,41,37,76,74,allocated,126.65718210539869,41,40,76,74,existing,126.65718210539869,41,16,76,74,allocated,126.65718210539869,41,17,76,81,allocated,620.4791726835446,41,17,76,81,allocated,620.4791726835446
42,42,0,77,2,allocated,173.2751224109344,42,0,77,4,existing,465.98667235297927,42,0,77,2,allocated,173.2751224109344,42,40,77,74,existing,571.2852841734184,42,16,77,74,allocated,571.2852841734184,42,17,77,81,allocated,620.2576519634395,42,17,77,81,allocated,620.2576519634395
43,43,0,78,2,allocated,249.78164934845785,43,0,78,4,existing,541.3685272458481,43,0,78,2,allocated,249.78164934845785,43,40,78,74,existing,646.6671390662872,43,16,78,74,allocated,646.6671390662872,43,17,78,81,allocated,695.6395068563081,43,17,78,81,allocated,695.6395068563081
44,44,10,80,47,allocated,173.49988635951203,44,10,80,81,allocated,100.02767581923999,44,10,80,81,allocated,100.02767581923999,44,17,80,81,allocated,100.02767581923999,44,17,80,81,allocated,100.02767581923999,44,16,80,74,allocated,765.3031395370087,44,40,80,74,existing,765.3031395370087
45,45,10,81,47,allocated,73.47221054027204,45,10,81,81,allocated,0.0,45,10,81,81,allocated,0.0,45,17,81,81,allocated,0.0,45,17,81,81,allocated,0.0,45,40,81,74,existing,665.2754637177687,45,16,81,74,allocated,665.2754637177687
46,46,21,84,96,allocated,466.7834912432598,46,21,84,18,allocated,296.7795972018281,46,21,84,18,allocated,296.7795972018281,46,16,84,74,allocated,640.6069615659694,46,40,84,74,existing,640.6069615659694,46,17,84,81,allocated,1064.5972533607644,46,17,84,81,allocated,1064.5972533607644
47,47,0,85,2,allocated,425.2738698074658,47,0,85,18,allocated,692.1515439797695,47,0,85,2,allocated,425.2738698074658,47,16,85,74,allocated,813.7443847130147,47,40,85,74,existing,813.7443847130147,47,17,85,81,allocated,871.1317273153161,47,17,85,81,allocated,871.1317273153161
48,48,21,86,96,allocated,370.58674558800806,48,21,86,18,allocated,525.777931781469,48,21,86,96,allocated,370.58674558800806,48,16,86,74,allocated,647.3707725147142,48,40,86,74,existing,647.3707725147142,48,17,86,81,allocated,705.6019758844277,48,17,86,81,allocated,705.6019758844277
49,49,0,87,2,allocated,111.96071196490936,49,0,87,4,existing,485.68904125259996,49,0,87,2,allocated,111.96071196490936,49,16,87,74,allocated,626.0018987681113,49,40,87,74,existing,626.0018987681113,49,17,87,81,allocated,639.96002086306,49,17,87,81,allocated,639.96002086306
50,50,10,88,47,allocated,240.2249754976952,50,10,88,81,allocated,313.69718603796724,50,10,88,88,allocated,0.0,50,17,88,81,allocated,313.69718603796724,50,17,88,81,allocated,313.69718603796724,50,40,88,74,existing,832.0282286751918,50,16,88,74,allocated,832.0282286751918
51,51,10,90,47,allocated,145.25541076872244,51,10,90,81,allocated,218.7276213089945,51,10,90,90,allocated,0.0,51,17,90,81,allocated,218.7276213089945,51,17,90,81,allocated,218.7276213089945,51,16,90,74,allocated,737.0586639462191,51,40,90,74,existing,737.0586639462191
52,52,10,91,47,allocated,216.02455934777143,52,10,91,81,allocated,289.49676988804345,52,10,91,47,allocated,216.02455934777143,52,17,91,81,allocated,289.49676988804345,52,17,91,81,allocated,289.49676988804345,52,16,91,74,allocated,735.9727661240813,52,40,91,74,existing,735.9727661240813
53,53,39,92,92,existing,0.0,53,39,92,92,allocated,0.0,53,39,92,92,existing,0.0,53,40,92,74,existing,561.1103251680108,53,16,92,74,allocated,561.1103251680108,53,17,92,81,allocated,1152.496202942296,53,17,92,81,allocated,1152.496202942296
54,54,21,93,96,allocated,356.79872696344114,54,21,93,18,allocated,633.2647739957204,54,21,93,96,allocated,356.79872696344114,54,16,93,74,allocated,879.931105288801,54,40,93,74,existing,879.931105288801,54,17,93,81,allocated,938.1623086585146,54,17,93,81,allocated,938.1623086585146
