,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant
45,45,23,68,127,existing,356.4877752437062,45,23,68,33,allocated,259.45546795461183,45,23,68,98,allocated,219.72028182324178,45,10,68,98,allocated,219.72028182324178,45,9,68,85,allocated,445.34848571305895,45,26,68,27,existing,728.3537025051423,45,21,68,220,allocated,469.12499784896306
46,46,16,69,157,allocated,362.27897550968237,46,16,69,33,allocated,184.7141749076102,46,16,69,33,allocated,184.7141749076102,46,10,69,98,allocated,317.37798202302304,46,9,69,85,allocated,370.54186670791205,46,26,69,27,existing,819.7521526529824,46,21,69,220,allocated,394.31837884381616
47,47,23,70,127,existing,365.27649472164944,47,23,70,33,allocated,269.8604326630555,47,23,70,98,allocated,230.12524653168546,47,10,70,98,allocated,230.12524653168546,47,9,70,85,allocated,455.75345042150263,47,21,70,220,allocated,479.52996255740675,47,26,70,27,existing,738.758667213586
48,48,24,76,28,existing,107.11942084993137,48,24,76,66,allocated,205.31931781903756,48,24,76,76,existing,0.0,48,21,76,220,allocated,694.3327616946663,48,9,76,85,allocated,726.2557063450461,48,26,76,27,existing,1537.0743753341376,48,10,76,98,allocated,1162.852865782231
49,49,0,77,11,allocated,46.748829584734736,49,0,77,186,allocated,166.73321652121905,49,0,77,189,existing,28.91738860665413,49,26,77,27,existing,233.46690954121598,49,10,77,98,allocated,433.33673842596187,49,9,77,85,allocated,645.8571965081585,49,21,77,220,allocated,1010.8928268802581
50,50,0,78,11,allocated,125.74202282570828,50,0,78,186,allocated,245.7264097621926,50,0,78,189,existing,107.91058184762767,50,26,78,27,existing,312.46010278218955,50,10,78,98,allocated,512.3299316669354,50,21,78,220,allocated,1089.8860201212317,50,9,78,85,allocated,724.850389749132
51,51,23,79,127,existing,531.6542729481325,51,23,79,105,existing,393.7496340921918,51,23,79,189,existing,684.8105997396588,51,10,79,98,allocated,700.5239137969565,51,26,79,27,existing,771.3807447295285,51,21,79,220,allocated,1357.267046040802,51,9,79,85,allocated,1144.1036173794291
52,52,23,80,127,existing,343.8113098155096,52,23,80,33,allocated,266.7479331467257,52,23,80,98,allocated,219.8248883366916,52,10,80,98,allocated,219.8248883366916,52,9,80,85,allocated,453.19928423741965,52,21,80,220,allocated,481.80146327715966,52,26,80,27,existing,728.4583090185922
53,53,23,81,127,existing,201.50542415071382,53,23,81,33,allocated,369.52827222326016,53,23,81,98,allocated,112.3999197314815,53,10,81,98,allocated,112.3999197314815,53,9,81,85,allocated,555.9796233139541,53,26,81,27,existing,721.368790485351,53,21,81,220,allocated,624.1073489419555
54,54,0,82,11,allocated,355.2568435357332,54,0,82,33,allocated,336.36384800570266,54,0,82,98,allocated,310.29474101420004,54,10,82,98,allocated,310.29474101420004,54,9,82,85,allocated,509.97839389374,54,21,82,220,allocated,865.1775665178367,54,26,82,27,existing,582.2507125558799
55,55,16,83,157,allocated,448.0989547248036,55,16,83,43,existing,141.87051477981436,55,16,83,71,allocated,341.06505293624053,55,9,83,85,allocated,460.48992849968505,55,21,83,220,allocated,480.9201088290229,55,26,83,27,existing,1083.0062686851256,55,10,83,98,allocated,580.6320980551664
56,56,18,85,199,allocated,193.0937175559263,56,18,85,33,allocated,186.45135109069392,56,18,85,85,allocated,0.0,56,9,85,85,allocated,0.0,56,21,85,220,allocated,365.0356303720997,56,10,85,98,allocated,443.5797035824726,56,26,85,27,existing,821.4893288360661
57,57,18,86,199,allocated,336.87654001580546,57,18,86,33,allocated,524.6905489944587,57,18,86,199,allocated,336.87654001580546,57,9,86,85,allocated,525.6325638828548,57,21,86,220,allocated,549.0103845072267,57,10,86,98,allocated,781.8189014862373,57,26,86,27,existing,1156.0404110381437
58,58,18,87,199,allocated,241.62574823628898,58,18,87,33,allocated,429.43975721494223,58,18,87,199,allocated,241.62574823628898,58,9,87,85,allocated,430.38177210333834,58,21,87,220,allocated,453.7595927277102,58,26,87,27,existing,1060.7896192586272,58,10,87,98,allocated,686.5681097067209
59,59,23,88,127,existing,443.7680915767231,59,23,88,43,existing,319.57270128556945,59,23,88,98,allocated,326.94027834053765,59,10,88,98,allocated,326.94027834053765,59,9,88,85,allocated,552.5684822303548,59,21,88,220,allocated,576.3449943662589,59,26,88,27,existing,835.5736990224382
60,60,0,89,11,allocated,417.51346836285154,60,0,89,33,allocated,398.62047283282095,60,0,89,98,allocated,372.55136584131833,60,10,89,98,allocated,372.55136584131833,60,9,89,85,allocated,572.2350187208583,60,21,89,220,allocated,927.434191344955,60,26,89,27,existing,644.5073373829982
61,61,24,90,28,existing,111.89850019410994,61,24,90,66,allocated,111.42469104735369,61,24,90,29,allocated,49.33685305793122,61,21,90,220,allocated,604.7164753342565,61,9,90,85,allocated,632.3610795733621,61,26,90,27,existing,1443.1797485624536,61,10,90,98,allocated,1068.9582390105472
62,62,23,91,127,existing,419.9105320431971,62,23,91,105,existing,435.40321988772075,62,23,91,98,allocated,330.8050276239648,62,10,91,98,allocated,330.8050276239648,62,9,91,85,allocated,774.3847312064374,62,26,91,27,existing,939.7738983778344,62,21,91,220,allocated,842.5124568344386
63,63,23,92,127,existing,296.27369002733093,63,23,92,33,allocated,464.29653809987724,63,23,92,98,allocated,207.1681856080986,63,10,92,98,allocated,207.1681856080986,63,9,92,85,allocated,650.7478891905712,63,26,92,27,existing,816.1370563619682,63,21,92,220,allocated,718.8756148185724
64,64,16,93,157,allocated,131.83248475175307,64,16,93,94,existing,78.1626303957916,64,16,93,157,allocated,131.83248475175307,64,21,93,220,allocated,166.49656457244038,64,9,93,85,allocated,492.9491566617156,64,10,93,98,allocated,811.4894422844585,64,26,93,27,existing,1313.2749247296165
65,65,16,94,157,allocated,209.99511514754465,65,16,94,94,existing,0.0,65,16,94,157,allocated,209.99511514754465,65,21,94,220,allocated,244.659194968232,65,9,94,85,allocated,571.1117870575072,65,10,94,98,allocated,735.6020114745652,65,26,94,27,existing,1237.9761821045245
66,66,23,95,127,existing,452.13881296750276,66,23,95,105,existing,282.2506312139408,66,23,95,98,allocated,483.9576162977448,66,10,95,98,allocated,483.9576162977448,66,26,95,27,existing,874.5709845127926,66,9,95,85,allocated,927.5373198802174,66,21,95,220,allocated,992.6023608369966
67,67,23,96,127,existing,349.3875021499007,67,23,96,105,existing,179.49932039633876,67,23,96,98,allocated,518.2571429987246,67,10,96,98,allocated,518.2571429987246,67,26,96,27,existing,771.8196736951905,67,9,96,85,allocated,961.8368465811973,67,21,96,220,allocated,1095.3536716545987
68,68,23,97,127,existing,298.30843597137084,68,23,97,33,allocated,176.36183993258106,68,23,97,98,allocated,129.4387951225469,68,10,97,98,allocated,129.4387951225469,68,9,97,85,allocated,362.813191023275,68,26,97,27,existing,638.0722158044475,68,21,97,220,allocated,559.406484549658
69,69,23,98,127,existing,168.86964084882396,69,23,98,33,allocated,257.1283524917786,69,23,98,98,allocated,0.0,69,10,98,98,allocated,0.0,69,9,98,85,allocated,443.5797035824726,69,26,98,27,existing,608.9688707538696,69,21,98,220,allocated,688.8452796722049
70,70,25,99,242,existing,445.7660626687908,70,25,99,43,existing,274.88636418710956,70,25,99,71,allocated,208.04920352894533,70,9,99,85,allocated,593.5057779069803,70,21,99,220,allocated,613.9359582363181,70,26,99,27,existing,1216.022118092421,70,10,99,98,allocated,713.6479474624616
71,71,16,100,157,allocated,487.50734222755796,71,16,100,43,existing,182.0272779764534,71,16,100,33,allocated,319.76113257495274,71,10,100,98,allocated,452.4249396903656,71,9,100,85,allocated,499.8983160024394,71,21,100,220,allocated,520.3284963317773,71,26,100,27,existing,954.799110320325
