,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant
24,24,25,91,162,allocated,178.0531769351852,24,25,91,66,existing,447.82408734932307,24,25,91,24,allocated,68.63103365288083,24,38,91,90,existing,119.66034414244314,24,39,91,68,existing,221.09237957648548,24,11,91,66,allocated,447.82408734932307,24,40,91,94,existing,433.75948993382804,24,10,91,62,allocated,634.4987172512427,24,4,91,35,allocated,831.6700333219467
25,25,36,95,51,existing,334.9057292255063,25,36,95,66,existing,109.48173097888179,25,36,95,66,allocated,109.48173097888179,25,11,95,66,allocated,109.48173097888179,25,40,95,94,existing,227.14693240922983,25,10,95,62,allocated,490.18547392813565,25,39,95,68,existing,227.25641123997616,25,38,95,90,existing,567.673375938777,25,4,95,35,allocated,567.3227970828588
26,26,1,97,3,allocated,160.33299146343828,26,1,97,153,allocated,192.46287185999313,26,1,97,3,allocated,160.33299146343828,26,4,97,35,allocated,175.12866992548578,26,40,97,94,existing,573.0392133136044,26,11,97,66,allocated,632.9697360294626,26,10,97,62,allocated,656.8843926928134,26,39,97,68,existing,786.3272529378597,26,38,97,90,existing,1126.4590473898756
27,27,1,98,3,allocated,123.44374305193367,27,1,98,153,allocated,235.76967241638073,27,1,98,3,allocated,123.44374305193367,27,4,98,35,allocated,218.43547048187338,27,40,98,94,existing,616.346013869992,27,11,98,66,allocated,659.1173416343424,27,10,98,62,allocated,623.0376580167026,27,39,98,68,existing,829.6340534942474,27,38,98,90,existing,1169.7658479462632
28,28,34,106,77,existing,176.04428582180415,28,34,106,153,allocated,27.84098677477135,28,34,106,153,allocated,27.84098677477135,28,4,106,35,allocated,45.1751887092787,28,40,106,94,existing,352.7353546788398,28,11,106,66,allocated,412.6658773946982,28,10,106,62,allocated,558.7944334029684,28,38,106,90,existing,906.155188755111,28,39,106,68,existing,566.0233943030952
29,29,31,109,134,existing,136.82642297270698,29,31,109,66,existing,232.0516414459267,29,31,109,185,allocated,212.56062849514922,29,11,109,66,allocated,232.0516414459267,29,10,109,62,allocated,245.86538832662814,29,40,109,94,existing,459.0096294081458,29,39,109,68,existing,264.7542361714301,29,4,109,35,allocated,571.3660439422464,29,38,109,90,existing,484.5369011343209
30,30,34,113,77,existing,149.2212478238325,30,34,113,153,allocated,234.379908847688,30,34,113,77,existing,149.2212478238325,30,40,113,94,existing,146.1964326059232,30,4,113,35,allocated,251.71411078219535,30,11,113,66,allocated,276.49391139577347,30,39,113,68,existing,359.48447223017854,30,38,113,90,existing,699.6162666821944,30,10,113,62,allocated,636.7733132680444
31,31,34,115,77,existing,120.04868105601108,31,34,115,153,allocated,202.0150083269799,31,34,115,77,existing,120.04868105601108,31,40,115,94,existing,178.5613331266313,31,4,115,35,allocated,219.34921026148726,31,39,115,68,existing,391.84937275088663,31,11,115,66,allocated,308.85881191648156,31,10,115,62,allocated,634.3253825564386,31,38,115,90,existing,731.9811672029025
32,32,8,116,58,allocated,140.24762310428082,32,8,116,153,allocated,227.0188761238003,32,8,116,58,allocated,140.24762310428082,32,4,116,35,allocated,244.35307805830766,32,11,116,66,allocated,280.2237892215732,32,10,116,62,allocated,309.73130267975,32,40,116,94,existing,316.2957189464585,32,38,116,90,existing,800.5298224931488,32,39,116,68,existing,469.1263097455667
33,33,31,119,134,existing,63.893113879755866,33,31,119,56,allocated,210.68594304238343,33,31,119,185,allocated,139.6273194021981,33,10,119,62,allocated,172.932079233677,33,11,119,66,allocated,335.5578914750886,33,4,119,35,allocated,508.93852926389235,33,39,119,68,existing,368.26048620059197,33,38,119,90,existing,549.7959742138094,33,40,119,94,existing,562.5158794373077
