,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant
22,22,27,46,237,allocated,236.97763545877137,22,27,46,81,existing,241.18145858211258,22,27,46,136,allocated,228.85362555188934,22,37,46,12,existing,548.1560438259422,22,38,46,12,existing,548.1560438259422,22,39,46,171,existing,617.129975254585,22,40,46,171,existing,617.129975254585,22,16,46,135,allocated,743.0896890183777,22,21,46,162,allocated,669.2132957070916,22,19,46,151,allocated,998.7002810632252
23,23,36,47,20,existing,174.42558369442276,23,36,47,270,allocated,358.7904338652285,23,36,47,151,allocated,264.58835906162506,23,19,47,151,allocated,264.58835906162506,23,16,47,135,allocated,520.1989511064727,23,21,47,162,allocated,785.857962765648,23,38,47,12,existing,1811.4446839507928,23,40,47,171,existing,1880.4186153794353,23,37,47,12,existing,1811.4446839507928,23,39,47,171,existing,1880.4186153794353
24,24,36,48,20,existing,362.73871468536413,24,36,48,137,existing,390.5826485798898,24,36,48,151,allocated,452.9014900525664,24,19,48,151,allocated,452.9014900525664,24,16,48,135,allocated,708.5120820974141,24,21,48,162,allocated,974.1710937565894,24,37,48,12,existing,1999.757814941734,24,38,48,12,existing,1999.757814941734,24,40,48,171,existing,2068.7317463703766,24,39,48,171,existing,2068.7317463703766
25,25,33,54,38,existing,344.4635918907918,25,33,54,36,allocated,264.92617105240146,25,33,54,53,allocated,37.46817576973428,25,21,54,162,allocated,67.43117215022228,25,16,54,135,allocated,333.0901838093975,25,38,54,12,existing,1149.9381673828116,25,19,54,151,allocated,588.7007758542453,25,39,54,171,existing,1218.9120988114541,25,40,54,171,existing,1218.9120988114541,25,37,54,12,existing,1149.9381673828116
26,26,33,55,38,existing,482.88660967723206,26,33,55,36,allocated,403.3491888388417,26,33,55,53,allocated,175.89119355617453,26,21,55,162,allocated,205.85418993666252,26,16,55,135,allocated,471.51320159583776,26,38,55,12,existing,1011.5151495963713,26,19,55,151,allocated,727.1237936406856,26,39,55,171,existing,1080.489081025014,26,40,55,171,existing,1080.489081025014,26,37,55,12,existing,1011.5151495963713
27,27,27,56,237,allocated,453.8694017826348,27,27,56,81,existing,447.0294249420029,27,27,56,53,allocated,320.2939901773465,27,21,56,162,allocated,350.2569865578345,27,16,56,135,allocated,601.12351723817,27,37,56,12,existing,867.1123529751992,27,19,56,151,allocated,856.7341092830176,27,39,56,171,existing,936.086284403842,27,40,56,171,existing,936.086284403842,27,38,56,12,existing,867.1123529751992
28,28,27,61,237,allocated,318.223266241185,28,27,61,81,existing,311.3832894005531,28,27,61,81,allocated,311.3832894005531,28,21,61,162,allocated,485.9031220992843,28,16,61,135,allocated,559.7795154105704,28,37,61,12,existing,731.4662174337495,28,38,61,12,existing,731.4662174337495,28,40,61,171,existing,800.4401488623923,28,19,61,151,allocated,815.390107455418,28,39,61,171,existing,800.4401488623923
29,29,27,62,237,allocated,185.94536404607456,29,27,62,81,existing,292.2137299948094,29,27,62,237,allocated,185.94536404607456,29,38,62,12,existing,599.188315238639,29,37,62,12,existing,599.188315238639,29,21,62,162,allocated,618.1810242943948,29,39,62,171,existing,668.1622466672818,29,16,62,135,allocated,692.0574176056809,29,40,62,171,existing,668.1622466672818,29,19,62,151,allocated,947.6680096505285
30,30,33,65,38,existing,489.7460979729392,30,33,65,36,allocated,410.20867713454885,30,33,65,53,allocated,182.75068185188164,30,21,65,162,allocated,212.71367823236966,30,16,65,135,allocated,478.3726898915449,30,38,65,12,existing,1139.7683563546238,30,19,65,151,allocated,733.9832819363926,30,37,65,12,existing,1139.7683563546238,30,39,65,171,existing,1197.2457400501603,30,40,65,171,existing,1197.2457400501603
31,31,27,66,237,allocated,365.3743330981101,31,27,66,81,existing,358.53435625747824,31,27,66,81,allocated,358.53435625747824,31,21,66,162,allocated,438.7520552423592,31,16,66,135,allocated,512.6284485536453,31,19,66,151,allocated,768.2390405984929,31,38,66,12,existing,778.6172842906747,31,40,66,171,existing,847.5912157193175,31,37,66,12,existing,778.6172842906747,31,39,66,171,existing,847.5912157193175
32,32,32,67,12,existing,237.29238333156943,32,32,67,250,existing,213.5020463179829,32,32,67,67,allocated,0.0,32,37,67,12,existing,237.29238333156943,32,38,67,12,existing,237.29238333156943,32,39,67,171,existing,259.0290849232254,32,40,67,171,existing,259.0290849232254,32,21,67,162,allocated,1312.3230682799206,32,19,67,151,allocated,1724.4019933968236,32,16,67,135,allocated,1468.7914013519762
33,33,32,68,12,existing,156.59601587126133,33,32,68,250,existing,132.8056788576748,33,32,68,67,allocated,80.69636746030808,33,38,68,12,existing,156.59601587126133,33,37,68,12,existing,156.59601587126133,33,40,68,171,existing,178.33271746291734,33,39,68,171,existing,178.33271746291734,33,16,68,135,allocated,1388.0950338916682,33,21,68,162,allocated,1231.6267008196126,33,19,68,151,allocated,1643.7056259365156
34,34,32,69,12,existing,252.9068234196227,34,32,69,250,existing,276.6971604332092,34,32,69,69,allocated,0.0,34,38,69,12,existing,252.9068234196227,34,37,69,12,existing,252.9068234196227,34,40,69,171,existing,321.88075484826544,34,39,69,171,existing,321.88075484826544,34,19,69,151,allocated,1438.637561943754,34,21,69,162,allocated,1099.575211167371,34,16,69,135,allocated,1183.0269698989066
35,35,11,70,75,allocated,104.86837453701769,35,11,70,81,existing,131.96877185221808,35,11,70,75,allocated,104.86837453701769,35,38,70,12,existing,432.80221665518764,35,37,70,12,existing,432.80221665518764,35,40,70,171,existing,501.77614808383044,35,39,70,171,existing,501.77614808383044,35,21,70,162,allocated,921.9554599283122,35,16,70,135,allocated,1003.1315766633418,35,19,70,151,allocated,1258.7421687081892
36,36,10,71,72,allocated,114.71479967000187,36,10,71,218,allocated,258.5082233733156,36,10,71,72,allocated,114.71479967000187,36,19,71,151,allocated,915.8829459176585,36,16,71,135,allocated,1171.4935379625063,36,21,71,162,allocated,1437.1525496216814,36,37,71,12,existing,1948.3973245238246,36,40,71,171,existing,1971.154162670562,36,38,71,12,existing,1948.3973245238246,36,39,71,171,existing,1971.154162670562
37,37,10,72,72,allocated,0.0,37,10,72,218,allocated,143.79342370331378,37,10,72,72,allocated,0.0,37,19,72,151,allocated,949.4590028177356,37,16,72,135,allocated,1205.0695948625832,37,21,72,162,allocated,1470.7286065217586,37,38,72,12,existing,1833.6825248538228,37,39,72,171,existing,1856.4393630005602,37,37,72,12,existing,1833.6825248538228,37,40,72,171,existing,1856.4393630005602
38,38,11,74,75,allocated,211.25351976458109,38,11,74,81,existing,127.778790434156,38,11,74,81,allocated,127.778790434156,38,21,74,162,allocated,669.5076210656814,38,37,74,12,existing,692.5497789415617,38,16,74,135,allocated,743.3840143769676,38,38,74,12,existing,692.5497789415617,38,39,74,171,existing,761.5237103702044,38,40,74,171,existing,761.5237103702044,38,19,74,151,allocated,998.9946064218152
39,39,11,75,75,allocated,0.0,39,11,75,81,existing,236.83714638923578,39,11,75,75,allocated,0.0,39,37,75,12,existing,537.6705911922054,39,38,75,12,existing,537.6705911922054,39,40,75,171,existing,606.644522620848,39,39,75,171,existing,606.644522620848,39,16,75,135,allocated,954.6375341415487,39,19,75,151,allocated,1210.2481261863963,39,21,75,162,allocated,817.0870853912945
40,40,10,76,72,allocated,259.4003593169964,40,10,76,218,allocated,403.19378302031015,40,10,76,72,allocated,259.4003593169964,40,19,76,151,allocated,784.5687958809879,40,16,76,135,allocated,1040.1793879258355,40,38,76,12,existing,2093.0828841708194,40,21,76,162,allocated,1305.8383995850108,40,39,76,171,existing,2115.8397223175566,40,37,76,12,existing,2093.0828841708194,40,40,76,171,existing,2115.8397223175566
41,41,10,77,72,allocated,164.75865718282165,41,10,77,218,allocated,308.5520808861354,41,10,77,72,allocated,164.75865718282165,41,19,77,151,allocated,784.7003456349139,41,16,77,135,allocated,1040.3109376797615,41,21,77,162,allocated,1305.9699493389367,41,37,77,12,existing,1998.4411820366445,41,38,77,12,existing,1998.4411820366445,41,40,77,171,existing,2021.198020183382,41,39,77,171,existing,2021.198020183382
42,42,36,78,20,existing,431.82983024629726,42,36,78,137,existing,257.765292980988,42,36,78,270,allocated,335.0548808069948,42,19,78,151,allocated,506.48982161312284,42,16,78,135,allocated,762.1004136579705,42,21,78,162,allocated,1027.7594253171458,42,38,78,12,existing,1961.1697280959706,42,40,78,171,existing,2030.1436595246132,42,39,78,171,existing,2030.1436595246132,42,37,78,12,existing,1961.1697280959706
43,43,10,79,72,allocated,317.6475699514049,43,10,79,270,allocated,209.73326955378695,43,10,79,270,allocated,209.73326955378695,43,19,79,151,allocated,631.8114328663307,43,16,79,135,allocated,887.4220249111784,43,21,79,162,allocated,1153.0810365703537,43,38,79,12,existing,2086.4913393491784,43,39,79,171,existing,2155.4652707778214,43,37,79,12,existing,2086.4913393491784,43,40,79,171,existing,2155.4652707778214
44,44,36,80,20,existing,344.62677795019425,44,36,80,137,existing,170.562240684885,44,36,80,151,allocated,419.28676931701983,44,19,80,151,allocated,419.28676931701983,44,16,80,135,allocated,674.8973613618675,44,21,80,162,allocated,940.5563730210428,44,37,80,12,existing,1873.9666757998675,44,40,80,171,existing,1942.9406072285105,44,39,80,171,existing,1942.9406072285105,44,38,80,12,existing,1873.9666757998675
45,45,33,87,38,existing,423.30974235116804,45,33,87,36,allocated,370.6743554740206,45,33,87,150,existing,194.0183773452207,45,16,87,135,allocated,285.06727852402946,45,19,87,151,allocated,353.0820378989751,45,38,87,12,existing,1274.2451579831418,45,21,87,162,allocated,550.7262901832048,45,40,87,171,existing,1343.2190894117844,45,37,87,12,existing,1274.2451579831418,45,39,87,171,existing,1343.2190894117844
46,46,35,94,115,existing,674.2820472965544,46,35,94,102,existing,503.53992262939585,46,35,94,143,allocated,387.07591785122554,46,40,94,171,existing,783.713187288875,46,39,94,171,existing,783.713187288875,46,38,94,12,existing,852.6871187175178,46,37,94,12,existing,852.6871187175178,46,16,94,135,allocated,2143.9328515618377,46,19,94,151,allocated,2399.5434436066853,46,21,94,162,allocated,2070.0564582505517
47,47,35,97,115,existing,703.6204783761563,47,35,97,102,existing,532.8783537089977,47,35,97,143,allocated,416.4143489308274,47,40,97,171,existing,813.0516183684769,47,39,97,171,existing,813.0516183684769,47,38,97,12,existing,882.0255497971197,47,37,97,12,existing,882.0255497971197,47,19,97,151,allocated,2428.881874686287,47,21,97,162,allocated,2099.3948893301535,47,16,97,135,allocated,2173.2712826414395
48,48,35,98,115,existing,394.48094369902253,48,35,98,102,existing,223.73881903186395,48,35,98,110,allocated,254.9106941392708,48,40,98,171,existing,503.9120836913431,48,39,98,171,existing,503.9120836913431,48,37,98,12,existing,572.8860151199858,48,38,98,12,existing,572.8860151199858,48,19,98,151,allocated,2119.7423400091534,48,21,98,162,allocated,1790.2553546530198,48,16,98,135,allocated,1864.1317479643058
49,49,35,99,115,existing,441.5092035729708,49,35,99,102,existing,270.76707890581224,49,35,99,143,allocated,251.63781412237958,49,39,99,171,existing,550.9403435652914,49,40,99,171,existing,550.9403435652914,49,37,99,12,existing,619.9142749939341,49,38,99,12,existing,619.9142749939341,49,19,99,151,allocated,2166.7705998831016,49,16,99,135,allocated,1911.160007838254,49,21,99,162,allocated,1837.283614526968
