,dist_grocery,dist_school,dist_healthcare,0_dist_restaurant,1_dist_restaurant
101,511.8748763133806,153.30444575496412,511.8748763133806,511.8748763133806,511.8748763133806
102,796.1136733052678,762.4681086773119,1111.8024757304288,1111.8024757304288,1111.8024757304288
103,854.6962858280377,703.8854961545419,1053.2198632076588,1053.2198632076588,1053.2198632076588
104,818.1473255697886,417.52968860453143,818.1473255697886,527.4633836364085,818.1473255697886
105,461.98478437250117,107.92143065372713,461.98478437250117,113.17702007436533,461.98478437250117
106,490.84771606815445,534.0459898055328,490.84771606815445,490.84771606815445,490.84771606815445
107,641.3696017340478,0.0,641.3696017340478,641.3696017340478,641.3696017340478
108,725.3074349739551,535.9775082194755,725.3074349739551,409.0155640214644,725.3074349739551
109,816.760003080639,444.52494011279146,816.760003080639,500.46813212814834,816.760003080639
110,316.488392458077,324.8812092759708,316.488392458077,316.488392458077,316.488392458077
111,407.20029820043015,274.8987152214449,407.20029820043015,407.20029820043015,432.0958241737358
112,0.0,132.30158297898527,0.0,0.0,26.872326173199593
113,318.5956801935348,450.89726317252007,318.5956801935348,178.24835795592,291.7233540203352
114,572.5201642467939,704.8217472257792,572.5201642467939,432.1728420091791,545.6478380735944
115,480.4575610783014,612.7591440572867,480.4575610783014,340.1102388406866,453.5852349051018
116,933.1132909180104,837.9198706936123,933.1132909180104,616.8214199655198,933.1132909180104
117,698.4538677219443,581.496821807583,698.4538677219443,499.3992105991111,698.4538677219443
118,664.6339344418469,503.7497999006325,664.6339344418469,465.5792773190136,664.6339344418469
119,506.505214056608,345.6210795153936,506.505214056608,307.4505569337747,506.505214056608
120,673.5061958173872,606.4444937121403,673.5061958173872,474.4515386945539,673.5061958173872
121,598.4093032924119,253.71699027958965,598.4093032924119,399.35464616957864,598.4093032924119
122,482.33490556160797,86.24060392025113,482.33490556160797,482.33490556160797,509.2072317348076
123,568.5755094818592,0.0,568.5755094818592,568.5755094818592,595.4478356550587
124,454.76657232867854,522.8880162183539,719.7875220989994,454.76657232867854,454.76657232867854
125,567.2838795787461,699.5854625577314,567.2838795787461,426.9365573411313,540.4115534055466
126,683.2681562596507,724.6096728076963,683.2681562596507,542.9208340220359,656.3958300864512
127,687.2051661330779,574.0797770603526,687.2051661330779,370.9132951805873,687.2051661330779
128,396.8321771817797,249.6626807914095,396.8321771817797,396.8321771817797,396.8321771817797
129,1140.7591016631197,768.5240386952723,1140.7591016631197,824.4672307106291,1140.7591016631197
130,513.4425070508923,602.5935323138727,513.4425070508923,486.5701808776928,513.4425070508923
131,398.21622464917067,530.5178076281559,398.21622464917067,371.34389847597106,398.21622464917067
132,333.8611677524148,466.1627507314,333.8611677524148,306.9888415792152,333.8611677524148
133,912.1918683339445,562.8575012808278,912.1918683339445,912.1918683339445,912.1918683339445
134,727.7012969726466,392.95543487243447,727.7012969726466,230.96794603698774,727.7012969726466
135,672.3372077320273,318.2738540132532,672.3372077320273,305.64952689616905,672.3372077320273
136,594.8775169418893,319.242616734323,594.8775169418893,98.14416600623055,594.8775169418893
137,1064.8768094993457,853.9231860020005,1064.8768094993457,748.584938546855,1064.8768094993457
138,1038.3792341102694,880.4207613910768,1038.3792341102694,722.0873631577788,1038.3792341102694
139,412.88952444670247,431.2528000382016,412.88952444670247,412.88952444670247,412.88952444670247
140,249.9472879268066,382.2488709057919,249.9472879268066,223.07496175360703,249.9472879268066
141,333.08735787265124,308.2822438613965,333.08735787265124,333.08735787265124,333.08735787265124
142,456.00804090182953,312.60944196452306,187.44501631369087,954.4499713457669,954.4499713457669
143,401.00747971508906,167.56802976677005,401.00747971508906,401.00747971508906,427.8798058882887
144,961.0104867974509,611.6761197443341,961.0104867974509,961.0104867974509,961.0104867974509
145,948.1674756253738,598.8331085722571,948.1674756253738,948.1674756253738,948.1674756253738
146,536.9576045697472,566.8842761024835,536.9576045697472,536.9576045697472,536.9576045697472
147,460.66838969903176,490.595061231768,460.66838969903176,460.66838969903176,460.66838969903176
148,132.30158297898527,0.0,132.30158297898527,132.30158297898527,159.17390915218485
149,352.1185588882332,208.71995995092672,291.3344983272872,850.5604893321706,850.5604893321706
150,307.09756545479036,163.69896651748388,336.35549176073,886.9224472275304,886.9224472275304
151,519.3679313161944,458.28665723083793,784.3888810865152,519.3679313161944,519.3679313161944
152,586.3605347957408,391.2940537512915,770.7000693952135,586.3605347957408,586.3605347957408
153,212.6424692457964,344.9440522247817,212.6424692457964,72.29514700818156,185.7701430725968
154,696.8112858920471,464.80985540087613,844.2158710447982,696.8112858920471,696.8112858920471
155,751.5115768894217,410.1095644035015,789.5155800474236,751.5115768894217,751.5115768894217
156,605.7187686520017,129.72436631129295,605.7187686520017,605.7187686520017,605.7187686520017
157,938.2324730585556,588.8981060054389,938.2324730585556,938.2324730585556,938.2324730585556
158,757.727710031812,550.3677710493732,757.727710031812,757.727710031812,757.727710031812
159,978.6993328989535,678.0452886328184,1027.3796556859352,1027.3796556859352,1027.3796556859352
160,969.9532819605308,620.618914907414,969.9532819605308,969.9532819605308,969.9532819605308
161,483.31205293503456,339.91345399772797,422.5279923740885,719.3669952853693,719.3669952853693
162,450.4702761348882,307.07167719758166,389.68621557394215,752.2087720855156,752.2087720855156
163,485.13343777888826,756.5520691815627,750.1543875492091,485.13343777888826,485.13343777888826
164,530.3528015775187,801.7714329801931,795.3737513478395,530.3528015775187,530.3528015775187
165,874.856741662941,502.62167869509346,874.856741662941,558.5648707104504,874.856741662941
166,227.40067106435856,84.00207212705206,416.05238615116184,807.2255528370986,807.2255528370986
167,19.083326095071953,636.8716743396874,248.15542370057682,19.083326095071953,19.083326095071953
168,533.990596093449,299.9487734229291,533.990596093449,533.990596093449,533.990596093449
169,99.59046668021848,554.0593891283349,366.82921647586727,99.59046668021848,99.59046668021848
170,182.90996584883246,470.7398899597209,447.9309156191533,182.90996584883246,182.90996584883246
